index,자연,음식,레포츠,역사,테마파크,휴식,예술,도심,가족,장소
0,1,1,0,0,0,1,1,0,0,168계단
1,0,1,0,0,0,1,1,0,0,168계단
2,0,1,0,0,0,1,1,0,0,168계단
3,1,1,0,0,0,1,1,0,0,168계단
4,1,0,0,0,0,1,0,0,1,1913 송정역시장
5,1,1,0,0,0,1,0,0,0,1913 송정역시장
6,1,1,0,0,0,0,0,0,0,1913 송정역시장
7,0,1,0,0,0,0,0,0,1,1913 송정역시장
8,0,0,0,0,0,1,0,1,0,1913 송정역시장
9,1,1,0,0,0,0,0,0,1,1913 송정역시장
10,1,0,1,0,0,0,0,0,0,1913 송정역시장
11,0,0,0,0,0,0,0,0,1,1913 송정역시장
12,0,0,0,0,0,1,1,1,1,1913 송정역시장
13,0,1,0,0,0,1,0,1,0,1913 송정역시장
14,1,0,0,0,0,1,0,0,1,1913 송정역시장
15,1,1,0,0,0,1,0,0,0,1913 송정역시장
16,1,1,0,0,0,0,0,0,0,DDP 동대문디자인플라자
17,0,0,0,0,0,1,0,0,0,DDP 동대문디자인플라자
18,1,1,0,0,1,1,0,1,0,DDP 동대문디자인플라자
19,0,0,0,0,0,1,0,1,0,DDP 동대문디자인플라자
20,1,0,0,0,0,1,0,0,0,DDP 동대문디자인플라자
21,1,1,0,0,0,0,1,0,0,DDP 동대문디자인플라자
22,0,1,0,0,0,0,0,0,0,DDP 동대문디자인플라자
23,0,1,0,0,0,0,0,0,0,DDP 동대문디자인플라자
24,0,1,0,0,0,0,0,0,0,DDP 동대문디자인플라자
25,0,1,0,1,0,0,0,0,0,DDP 동대문디자인플라자
26,1,1,0,0,0,0,0,0,0,DDP 동대문디자인플라자
27,1,1,0,0,0,1,0,0,0,DDP 동대문디자인플라자
28,0,1,0,0,0,0,1,0,0,DDP 동대문디자인플라자
29,0,1,0,0,1,0,0,0,0,DDP 동대문디자인플라자
30,1,1,0,0,0,0,0,1,0,DDP 동대문디자인플라자
31,1,1,0,0,0,0,0,0,0,DDP 동대문디자인플라자
32,0,0,0,1,0,0,0,0,0,DDP 동대문디자인플라자
33,0,1,0,0,0,0,0,0,0,DDP 동대문디자인플라자
34,0,0,0,1,0,0,0,0,0,DDP 동대문디자인플라자
35,0,1,0,0,0,0,0,0,0,DDP 동대문디자인플라자
36,0,1,0,1,0,0,0,0,0,DDP 동대문디자인플라자
37,0,0,0,0,0,0,0,0,0,DDP 동대문디자인플라자
38,0,0,0,0,0,1,0,1,0,DDP 동대문디자인플라자
39,1,1,0,0,0,1,0,0,0,DDP 동대문디자인플라자
40,0,0,0,0,0,1,0,0,0,DDP 동대문디자인플라자
41,0,1,0,0,0,0,1,0,0,DDP 동대문디자인플라자
42,1,1,0,0,0,1,0,0,0,N서울타워
43,0,1,0,0,0,0,0,1,0,N서울타워
44,1,1,0,0,0,1,0,0,1,N서울타워
45,0,0,0,0,0,1,0,1,0,N서울타워
46,1,1,0,0,0,1,0,0,0,N서울타워
47,0,0,0,0,0,0,1,0,0,N서울타워
48,1,1,0,0,0,0,0,1,0,N서울타워
49,1,0,0,0,0,0,0,0,0,N서울타워
50,0,0,0,0,0,1,0,1,0,N서울타워
51,0,1,0,0,0,0,0,1,0,N서울타워
52,0,1,0,0,0,0,0,1,0,N서울타워
53,0,1,0,1,0,0,0,0,0,N서울타워
54,0,1,0,0,0,0,0,0,0,N서울타워
55,1,0,0,0,0,0,0,0,0,N서울타워
56,0,1,0,0,0,0,0,0,0,N서울타워
57,1,1,0,0,0,1,0,0,0,N서울타워
58,0,1,0,0,0,0,0,0,0,N서울타워
59,0,1,0,0,0,0,0,0,0,감천문화마을
60,1,0,1,0,0,0,0,0,0,감천문화마을
61,1,0,0,0,0,0,0,0,0,감천문화마을
62,1,1,0,0,0,1,0,0,0,감천문화마을
63,1,1,0,0,0,1,1,1,0,감천문화마을
64,1,1,0,0,0,1,0,0,0,감천문화마을
65,0,0,0,0,0,1,0,0,0,감천문화마을
66,1,0,0,0,0,1,0,0,0,감천문화마을
67,1,1,0,0,0,1,0,1,0,감천문화마을
68,0,0,0,0,0,1,0,0,0,감천문화마을
69,1,1,0,0,0,0,0,0,1,감천문화마을
70,0,1,0,0,0,1,0,1,0,감천문화마을
71,1,0,0,0,0,1,0,1,0,감천문화마을
72,0,1,0,0,0,0,1,0,0,경복궁
73,0,0,0,0,0,0,0,1,0,경복궁
74,0,0,0,0,0,0,0,0,0,경복궁
75,1,1,1,0,0,0,0,0,0,경복궁
76,1,1,0,0,0,0,0,0,0,경복궁
77,1,0,0,1,0,1,0,0,0,경복궁
78,0,1,0,0,0,1,0,0,0,경복궁
79,1,0,1,0,0,0,0,0,0,경복궁
80,0,1,0,0,0,1,0,0,0,경복궁
81,1,0,0,0,0,1,0,1,0,경복궁
82,1,0,0,0,0,0,0,1,0,경복궁
83,0,1,0,0,0,1,0,0,0,경복궁
84,0,1,0,1,0,0,0,0,0,경복궁
85,0,0,0,0,0,1,0,0,0,경복궁
86,1,1,0,0,0,1,0,1,0,경복궁
87,0,0,0,0,1,0,0,1,0,경복궁
88,0,0,0,0,0,1,0,0,0,경복궁
89,0,1,0,0,0,0,0,1,0,경복궁
90,0,1,0,0,0,0,0,0,0,경복궁
91,0,1,0,0,0,0,0,0,0,경복궁
92,0,1,0,0,0,1,0,0,0,경복궁
93,0,1,0,0,0,1,0,1,1,경복궁
94,0,0,0,0,0,0,1,0,0,경복궁
95,0,1,0,0,0,0,0,0,0,경복궁
96,0,0,0,0,0,0,1,0,0,경복궁
97,0,1,0,0,0,0,0,0,0,경복궁
98,0,1,0,1,0,0,0,0,0,경복궁
99,1,0,0,1,0,0,0,0,1,경복궁
100,1,0,0,0,0,0,0,0,0,경복궁
101,0,0,0,1,0,0,0,0,0,경복궁
102,0,1,0,0,0,1,0,1,0,경복궁
103,1,1,0,1,0,0,0,0,0,경복궁
104,0,1,0,0,0,0,1,0,0,경복궁
105,0,0,0,0,0,1,0,0,0,경복궁
106,0,0,1,0,0,0,0,0,0,경복궁
107,1,1,0,0,0,1,0,0,0,경복궁
108,1,0,0,0,0,1,0,0,0,경복궁
109,1,0,0,1,0,0,0,1,0,경복궁
110,1,1,0,0,0,0,0,0,0,경복궁
111,0,1,0,0,0,0,0,0,0,경복궁
112,1,1,0,0,0,0,0,0,0,경복궁
113,1,0,0,0,0,1,0,0,0,경복궁
114,1,0,0,0,0,0,0,0,0,경복궁
115,0,1,0,0,0,1,0,0,0,경복궁
116,0,0,0,1,0,0,0,1,0,경복궁
117,0,0,0,1,0,0,0,0,0,경복궁
118,0,1,0,0,0,1,0,0,1,경복궁
119,1,0,0,0,0,1,0,0,0,경복궁
120,0,1,0,1,0,0,0,0,0,경복궁
121,0,0,0,1,0,1,1,0,0,경복궁
122,0,1,0,0,0,1,0,0,0,경복궁
123,0,0,0,0,0,0,0,1,0,경복궁
124,1,0,0,1,0,0,0,1,0,경복궁
125,0,0,0,1,0,0,0,1,0,경복궁
126,0,1,0,0,0,1,0,1,0,경복궁
127,1,1,0,0,0,0,0,0,0,경복궁
128,1,0,0,0,1,0,0,0,1,경복궁
129,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
130,1,1,0,0,0,0,0,0,0,경암동철길마을 시작점
131,1,1,0,0,0,0,0,0,0,경암동철길마을 시작점
132,1,0,0,0,0,1,0,0,0,경암동철길마을 시작점
133,0,1,0,0,0,0,0,1,0,경암동철길마을 시작점
134,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
135,1,1,0,0,0,0,0,0,0,경암동철길마을 시작점
136,0,0,0,1,0,1,0,1,0,경암동철길마을 시작점
137,1,1,0,0,1,0,0,0,0,경암동철길마을 시작점
138,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
139,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
140,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
141,1,0,0,0,0,1,0,0,0,경암동철길마을 시작점
142,1,1,0,0,0,0,0,0,0,경암동철길마을 시작점
143,1,1,0,0,0,0,0,0,1,경암동철길마을 시작점
144,1,1,0,0,0,0,0,0,0,경암동철길마을 시작점
145,1,0,0,0,0,1,0,0,0,경암동철길마을 시작점
146,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
147,0,1,0,1,0,0,0,0,0,경암동철길마을 시작점
148,1,1,0,1,0,0,0,0,0,경암동철길마을 시작점
149,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
150,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
151,1,1,0,0,0,0,0,0,0,경암동철길마을 시작점
152,0,0,0,0,0,0,0,0,1,경암동철길마을 시작점
153,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
154,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
155,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
156,1,1,0,0,0,0,0,0,0,경암동철길마을 시작점
157,1,0,1,0,0,1,0,0,0,경암동철길마을 시작점
158,1,1,0,0,0,0,0,0,0,경암동철길마을 시작점
159,1,1,0,0,0,0,0,0,0,경암동철길마을 시작점
160,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
161,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
162,0,0,0,0,0,1,0,0,0,경암동철길마을 시작점
163,1,1,0,0,1,1,0,0,0,경암동철길마을 시작점
164,1,1,0,0,0,0,0,0,0,경암동철길마을 시작점
165,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
166,0,1,0,0,0,0,0,0,0,경암동철길마을 시작점
167,1,1,0,0,0,0,0,0,0,경암동철길마을 시작점
168,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
169,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
170,1,1,0,0,0,0,0,0,0,경암동철길마을 시작점
171,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
172,0,0,0,0,0,0,0,0,1,경암동철길마을 시작점
173,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
174,1,1,0,0,0,0,0,0,0,경암동철길마을 시작점
175,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
176,1,1,0,0,0,0,0,0,0,경암동철길마을 시작점
177,1,1,0,1,0,0,0,0,0,경암동철길마을 시작점
178,0,1,0,0,0,1,0,0,0,경암동철길마을 시작점
179,1,0,0,0,0,1,0,0,1,경암동철길마을 시작점
180,1,1,0,0,0,0,0,0,0,경암동철길마을 시작점
181,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
182,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
183,1,1,0,0,0,0,0,0,0,경암동철길마을 시작점
184,1,1,0,0,0,0,0,0,0,경암동철길마을 시작점
185,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
186,1,1,0,0,0,1,0,1,0,경암동철길마을 시작점
187,1,0,0,0,0,0,0,0,0,경암동철길마을 시작점
188,1,1,0,1,0,0,0,0,0,경암동철길마을 시작점
189,1,1,0,0,0,0,0,0,1,경암동철길마을 시작점
190,1,1,0,0,0,0,0,0,0,경암동철길마을 시작점
191,0,0,0,0,0,0,0,1,0,경암동철길마을 시작점
192,1,1,0,0,0,1,0,0,1,경암동철길마을 시작점
193,1,0,0,0,0,0,0,0,0,경암동철길마을 시작점
194,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
195,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
196,1,1,0,1,0,1,0,0,0,경암동철길마을 시작점
197,1,1,0,0,1,0,0,0,0,경암동철길마을 시작점
198,0,1,0,1,0,0,0,0,0,경암동철길마을 시작점
199,1,1,0,0,0,0,0,0,0,경암동철길마을 시작점
200,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
201,1,0,0,0,0,1,0,0,0,경암동철길마을 시작점
202,0,1,0,0,0,0,0,0,0,경암동철길마을 시작점
203,1,1,0,0,0,0,0,1,0,경암동철길마을 시작점
204,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
205,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
206,1,0,0,1,0,0,0,0,0,경암동철길마을 시작점
207,1,1,0,1,0,1,0,1,0,경암동철길마을 시작점
208,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
209,1,1,0,1,0,0,0,0,0,경암동철길마을 시작점
210,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
211,1,0,0,0,0,1,0,0,0,경암동철길마을 시작점
212,0,1,0,1,0,1,0,0,0,경암동철길마을 시작점
213,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
214,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
215,1,1,1,0,0,1,0,0,0,경암동철길마을 시작점
216,1,0,0,0,0,0,0,0,1,경암동철길마을 시작점
217,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
218,1,0,0,0,0,0,0,0,0,경암동철길마을 시작점
219,1,1,0,1,0,0,0,0,0,경암동철길마을 시작점
220,1,1,0,0,0,0,0,0,0,경암동철길마을 시작점
221,1,1,1,0,0,1,0,0,0,경암동철길마을 시작점
222,1,0,0,0,0,1,0,0,0,경암동철길마을 시작점
223,1,1,0,0,0,0,0,0,0,경암동철길마을 시작점
224,1,1,0,1,0,0,0,0,0,경암동철길마을 시작점
225,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
226,1,1,1,0,0,0,0,0,0,경암동철길마을 시작점
227,1,0,0,0,0,0,0,0,0,경암동철길마을 시작점
228,1,1,0,0,0,0,0,0,1,경암동철길마을 시작점
229,0,0,0,0,0,1,0,0,0,경암동철길마을 시작점
230,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
231,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
232,1,0,0,0,0,0,0,0,0,경암동철길마을 시작점
233,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
234,0,1,0,0,0,0,0,0,0,경암동철길마을 시작점
235,1,1,0,0,0,0,0,0,0,경암동철길마을 시작점
236,1,1,1,1,0,1,0,0,0,경암동철길마을 시작점
237,0,0,0,1,0,0,0,1,0,경암동철길마을 시작점
238,1,1,0,0,1,0,0,0,0,경암동철길마을 시작점
239,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
240,1,0,1,0,0,1,0,0,0,경암동철길마을 시작점
241,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
242,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
243,1,0,0,0,0,0,0,0,0,경암동철길마을 시작점
244,0,0,1,0,0,0,0,0,0,경암동철길마을 시작점
245,1,1,0,0,0,0,0,1,0,경암동철길마을 시작점
246,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
247,1,1,0,0,0,0,0,0,0,경암동철길마을 시작점
248,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
249,1,0,0,0,0,0,0,1,0,경암동철길마을 시작점
250,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
251,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
252,1,0,0,0,0,1,0,0,0,경암동철길마을 시작점
253,1,1,0,0,0,0,0,1,0,경암동철길마을 시작점
254,1,1,0,0,0,1,0,1,0,경암동철길마을 시작점
255,1,1,0,0,0,0,0,0,0,경암동철길마을 시작점
256,1,0,0,1,0,1,1,0,0,경암동철길마을 시작점
257,1,1,1,1,0,1,0,1,0,경암동철길마을 시작점
258,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
259,0,1,0,1,0,1,0,1,0,경암동철길마을 시작점
260,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
261,1,1,0,0,0,1,1,0,0,경암동철길마을 시작점
262,1,1,0,0,0,1,0,0,0,경암동철길마을 시작점
263,0,0,0,1,0,1,0,0,0,경암동철길마을 시작점
264,0,1,0,0,0,0,0,0,0,경의선숲길
265,0,1,0,0,0,1,0,0,0,경의선숲길
266,0,1,0,0,0,0,0,0,0,경의선숲길
267,0,1,0,0,0,0,0,0,1,경의선숲길
268,1,1,0,0,0,0,0,1,0,경의선숲길
269,0,1,0,0,0,0,0,0,0,경의선숲길
270,1,1,0,0,0,1,0,0,0,경의선숲길
271,1,1,0,0,0,0,0,0,0,경의선숲길
272,0,1,0,0,0,0,0,0,1,경의선숲길
273,0,0,0,0,0,0,0,0,0,경의선숲길
274,0,1,0,0,0,0,0,1,0,경의선숲길
275,0,1,0,0,0,0,0,0,0,경의선숲길
276,1,0,0,0,0,0,0,0,0,경의선숲길
277,0,1,0,0,0,0,0,1,0,경의선숲길
278,1,1,0,0,0,0,0,1,0,경의선숲길
279,1,1,0,0,0,1,0,0,0,경의선숲길
280,1,0,0,0,0,1,0,0,0,경의선숲길
281,0,1,0,0,0,0,0,0,0,경의선숲길
282,0,0,0,0,0,0,0,1,0,경의선숲길
283,1,0,0,0,0,1,0,0,0,경의선숲길
284,0,1,0,0,0,0,0,0,0,경의선숲길
285,0,1,0,0,0,0,0,0,0,경의선숲길
286,1,1,0,0,0,1,0,1,0,경의선숲길
287,1,0,0,0,0,1,0,0,0,경의선숲길
288,1,1,0,0,0,0,0,0,1,경의선숲길
289,0,0,0,0,0,0,0,0,1,경의선숲길
290,0,1,0,0,0,0,0,0,0,경의선숲길
291,1,0,0,0,0,0,0,0,0,경의선숲길
292,1,1,0,1,0,1,0,1,0,경의선숲길
293,1,1,0,0,0,0,0,0,0,경의선숲길
294,1,0,1,0,0,0,0,0,0,경의선숲길
295,0,1,0,0,0,1,0,0,0,경의선숲길
296,0,1,0,0,0,0,1,0,0,경의선숲길
297,1,0,0,0,0,1,0,0,1,경춘선숲길
298,1,0,0,0,0,1,1,0,1,경춘선숲길
299,1,0,0,0,0,1,0,0,1,경춘선숲길
300,0,1,0,0,0,0,0,0,0,광명동굴
301,1,0,0,0,0,1,0,0,0,광명동굴
302,1,1,0,0,0,0,0,0,0,광명동굴
303,1,0,0,0,0,0,0,0,0,광명동굴
304,0,1,0,0,0,0,0,0,0,광명동굴
305,1,0,0,1,0,0,0,0,0,광명동굴
306,1,0,0,0,0,1,0,0,0,광명동굴
307,0,0,0,0,0,1,1,0,0,광명동굴
308,0,0,0,0,1,0,0,0,0,광명동굴
309,1,1,0,0,0,1,0,1,0,광명동굴
310,1,0,0,0,0,0,0,0,0,광명동굴
311,1,0,0,1,0,0,0,0,0,광명동굴
312,1,0,0,0,0,0,0,0,0,광명동굴
313,0,0,0,1,0,1,0,0,1,광명동굴
314,0,0,0,0,0,0,0,0,0,광명동굴
315,0,0,0,0,0,0,0,1,0,광명동굴
316,0,0,0,0,0,0,0,0,0,광명동굴
317,1,0,0,0,0,0,0,0,0,광명동굴
318,1,0,0,0,0,0,0,0,0,광명동굴
319,0,1,0,0,0,0,0,0,0,광명동굴
320,0,1,0,0,0,0,0,0,0,광장시장
321,1,0,0,1,0,0,0,1,0,광장시장
322,0,0,0,1,0,1,1,0,0,광장시장
323,0,1,0,0,0,0,1,0,0,광장시장
324,1,1,0,0,0,0,0,0,0,광장시장
325,1,0,1,0,0,0,0,0,0,광장시장
326,0,1,0,0,0,1,0,0,0,광장시장
327,0,1,0,1,0,0,0,0,0,광장시장
328,0,1,0,0,0,0,0,0,0,광장시장
329,1,0,0,1,0,0,0,1,0,광장시장
330,0,1,0,0,0,1,0,1,0,광장시장
331,1,0,0,0,0,1,0,0,0,광장시장
332,0,1,0,0,0,0,0,0,0,광장시장
333,1,1,1,0,0,0,0,0,0,광장시장
334,1,0,0,1,0,0,0,0,1,광장시장
335,0,1,0,1,0,0,0,0,0,광장시장
336,0,0,0,0,0,0,0,0,0,광장시장
337,0,0,1,0,0,0,0,0,0,광장시장
338,0,1,0,0,0,0,0,1,0,광장시장
339,0,0,0,0,1,0,0,1,0,광장시장
340,1,1,0,0,0,0,0,0,0,광장시장
341,0,1,0,0,0,0,0,0,0,광장시장
342,0,0,0,0,0,1,0,0,0,광장시장
343,1,0,0,0,0,0,0,1,0,광장시장
344,0,1,0,0,0,1,0,0,0,광장시장
345,1,0,0,0,0,1,0,0,0,광장시장
346,1,0,0,0,0,1,0,0,0,광장시장
347,1,0,0,0,0,0,0,0,0,광장시장
348,0,1,0,0,0,1,0,0,0,광장시장
349,0,0,0,0,0,0,0,1,0,광장시장
350,0,1,0,0,0,1,0,1,0,광장시장
351,0,1,0,0,0,1,0,1,1,광장시장
352,0,0,0,1,0,0,0,0,0,광장시장
353,0,0,0,0,0,1,0,0,0,광장시장
354,1,0,0,0,1,0,0,0,1,광장시장
355,0,1,0,0,0,1,0,0,0,광장시장
356,1,0,0,0,0,1,0,1,0,광장시장
357,1,1,0,0,0,0,0,0,0,광장시장
358,0,0,0,0,0,0,0,1,0,광장시장
359,0,0,0,1,0,0,0,0,0,광장시장
360,1,1,0,1,0,0,0,0,0,광장시장
361,0,1,0,0,0,1,0,0,0,광장시장
362,1,1,0,0,0,1,0,1,0,광장시장
363,0,0,0,1,0,0,0,1,0,광장시장
364,1,0,0,0,0,0,0,0,0,광장시장
365,0,0,0,0,0,1,0,0,0,광장시장
366,1,1,0,0,0,1,0,0,0,광장시장
367,0,1,0,1,0,0,0,0,0,광장시장
368,0,1,0,0,0,1,0,0,0,광장시장
369,0,1,0,0,0,1,0,0,1,광장시장
370,0,1,0,0,0,0,0,0,0,광장시장
371,0,0,0,0,0,0,1,0,0,광장시장
372,0,0,0,1,0,0,0,1,0,광장시장
373,0,0,0,0,0,0,1,0,0,광장시장
374,1,0,0,1,0,1,0,0,0,광장시장
375,1,1,0,0,0,0,0,0,0,광장시장
376,0,1,0,0,0,0,1,0,0,광장시장
377,1,0,0,1,0,0,0,1,0,광화문광장
378,0,1,0,0,0,1,0,1,1,광화문광장
379,0,0,0,0,0,0,1,0,0,광화문광장
380,1,0,0,1,0,0,0,0,1,광화문광장
381,0,1,0,1,0,0,0,0,0,광화문광장
382,1,1,0,0,0,0,0,0,0,광화문광장
383,0,0,0,0,0,0,0,0,0,광화문광장
384,0,1,0,0,0,1,0,1,0,광화문광장
385,0,0,0,0,0,0,1,0,0,광화문광장
386,0,0,0,1,0,0,0,0,0,광화문광장
387,1,0,0,0,0,0,0,0,0,광화문광장
388,1,1,1,0,0,0,0,0,0,광화문광장
389,0,1,0,0,0,0,1,0,0,광화문광장
390,1,0,1,0,0,0,0,0,0,광화문광장
391,1,0,0,1,0,0,0,1,0,광화문광장
392,1,0,0,0,0,0,0,0,0,광화문광장
393,1,0,0,0,0,1,0,0,0,광화문광장
394,0,1,0,0,0,1,0,0,1,광화문광장
395,1,0,0,0,0,1,0,0,0,광화문광장
396,0,0,0,0,0,1,0,0,0,광화문광장
397,1,1,0,0,0,0,0,0,0,광화문광장
398,1,1,0,0,0,0,0,0,0,광화문광장
399,0,0,0,1,0,0,0,1,0,광화문광장
400,0,0,1,0,0,0,0,0,0,광화문광장
401,1,1,0,0,0,1,0,0,0,광화문광장
402,0,0,0,0,0,0,0,1,0,광화문광장
403,1,0,0,0,0,1,0,0,0,광화문광장
404,1,1,0,0,0,0,0,0,0,광화문광장
405,0,0,0,1,0,1,1,0,0,광화문광장
406,0,0,0,0,0,0,0,1,0,광화문광장
407,0,1,0,1,0,0,0,0,0,광화문광장
408,1,0,0,0,1,0,0,0,1,광화문광장
409,0,1,0,0,0,1,0,0,0,광화문광장
410,0,1,0,0,0,1,0,0,0,광화문광장
411,0,1,0,0,0,1,0,0,0,광화문광장
412,0,1,0,0,0,1,0,1,0,광화문광장
413,1,1,0,1,0,0,0,0,0,광화문광장
414,0,1,0,0,0,0,0,0,0,광화문광장
415,0,0,0,1,0,0,0,0,0,광화문광장
416,0,0,0,1,0,0,0,1,0,광화문광장
417,1,1,0,0,0,1,0,1,0,광화문광장
418,0,1,0,0,0,1,0,0,0,광화문광장
419,1,0,0,1,0,1,0,0,0,광화문광장
420,0,0,0,0,0,1,0,0,0,광화문광장
421,0,1,0,0,0,0,1,0,0,광화문광장
422,1,0,0,0,0,1,0,1,0,광화문광장
423,0,1,0,0,0,0,0,0,0,광화문광장
424,0,1,0,0,0,0,0,0,0,광화문광장
425,0,1,0,0,0,0,0,0,0,광화문광장
426,0,1,0,1,0,0,0,0,0,광화문광장
427,0,0,0,0,1,0,0,1,0,광화문광장
428,0,1,0,0,0,0,0,0,0,광화문광장
429,0,1,0,0,0,1,0,0,0,광화문광장
430,0,0,0,0,0,1,0,0,0,광화문광장
431,1,0,0,0,0,0,0,1,0,광화문광장
432,0,1,0,0,0,1,0,0,0,광화문광장
433,0,1,0,0,0,0,0,1,0,광화문광장
434,0,0,0,0,0,1,0,0,0,국립고궁박물관
435,0,1,0,0,0,0,0,1,0,국립고궁박물관
436,0,1,0,0,0,1,0,0,0,국립고궁박물관
437,0,1,0,0,0,1,0,0,0,국립고궁박물관
438,0,1,0,0,0,0,0,0,0,국립고궁박물관
439,0,0,0,1,0,0,0,1,0,국립고궁박물관
440,0,1,0,0,0,0,1,0,0,국립고궁박물관
441,1,1,0,0,0,1,0,1,0,국립고궁박물관
442,1,0,0,0,0,0,0,1,0,국립고궁박물관
443,1,0,0,1,0,0,0,0,1,국립고궁박물관
444,1,0,0,1,0,0,0,1,0,국립고궁박물관
445,0,0,0,0,0,0,0,1,0,국립고궁박물관
446,0,1,0,0,0,1,0,0,0,국립고궁박물관
447,0,1,0,1,0,0,0,0,0,국립고궁박물관
448,0,1,0,0,0,1,0,0,0,국립고궁박물관
449,0,1,0,0,0,1,0,0,0,국립고궁박물관
450,0,0,0,1,0,0,0,0,0,국립고궁박물관
451,0,1,0,1,0,0,0,0,0,국립고궁박물관
452,1,0,0,1,0,0,0,1,0,국립고궁박물관
453,0,1,0,0,0,1,0,1,0,국립고궁박물관
454,1,0,0,0,0,1,0,0,0,국립고궁박물관
455,1,1,0,0,0,0,0,0,0,국립고궁박물관
456,1,0,0,0,0,1,0,1,0,국립고궁박물관
457,0,0,0,0,0,1,0,0,0,국립고궁박물관
458,1,1,0,1,0,0,0,0,0,국립고궁박물관
459,0,0,0,0,1,0,0,1,0,국립고궁박물관
460,0,0,0,1,0,1,1,0,0,국립고궁박물관
461,0,0,0,0,0,0,0,1,0,국립고궁박물관
462,0,0,1,0,0,0,0,0,0,국립고궁박물관
463,1,0,0,0,1,0,0,0,1,국립고궁박물관
464,1,0,0,0,0,1,0,0,0,국립고궁박물관
465,0,1,0,0,0,0,0,0,0,국립고궁박물관
466,1,0,1,0,0,0,0,0,0,국립고궁박물관
467,0,1,0,0,0,0,0,0,0,국립고궁박물관
468,0,1,0,1,0,0,0,0,0,국립고궁박물관
469,1,1,1,0,0,0,0,0,0,국립고궁박물관
470,1,1,0,0,0,0,0,0,0,국립고궁박물관
471,1,0,0,0,0,1,0,0,0,국립고궁박물관
472,1,0,0,0,0,0,0,0,0,국립고궁박물관
473,0,0,0,0,0,0,1,0,0,국립고궁박물관
474,0,1,0,0,0,0,0,0,0,국립고궁박물관
475,0,0,0,1,0,0,0,1,0,국립고궁박물관
476,0,0,0,0,0,0,1,0,0,국립고궁박물관
477,0,1,0,0,0,0,0,0,0,국립고궁박물관
478,0,1,0,0,0,0,1,0,0,국립고궁박물관
479,1,0,0,1,0,1,0,0,0,국립고궁박물관
480,0,0,0,0,0,0,0,0,0,국립고궁박물관
481,0,0,0,0,0,1,0,0,0,국립고궁박물관
482,1,0,0,0,0,0,0,0,0,국립고궁박물관
483,0,1,0,0,0,1,0,0,0,국립고궁박물관
484,0,1,0,0,0,1,0,1,1,국립고궁박물관
485,0,1,0,0,0,1,0,1,0,국립고궁박물관
486,1,1,0,0,0,0,0,0,0,국립고궁박물관
487,0,0,0,1,0,0,0,0,0,국립고궁박물관
488,1,1,0,0,0,1,0,0,0,국립고궁박물관
489,1,1,0,0,0,0,0,0,0,국립고궁박물관
490,0,1,0,0,0,1,0,0,1,국립고궁박물관
491,0,0,0,1,0,0,0,1,0,국립민속박물관
